Century,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
17,0.5244474212993971,1493,4.695914266577361,0.12726054922973878,0.12592096450100468,0.05760214333556597,0.044876088412592094,0.10984594775619558,0.29336905559276627,0.0,0.02344273275284662,0.072337575351641,0.14400535833891492,
17,0.45524899057873486,2972,4.725100942126514,0.11709286675639301,0.1059892328398385,0.04676985195154778,0.05484522207267833,0.12213997308209959,0.3186406460296097,0.0016823687752355316,0.0211978465679677,0.04576043068640646,0.16588156123822342,
17,0.6532663316582915,199,3.763819095477387,0.12060301507537688,0.09045226130653267,0.09045226130653267,0.01507537688442211,0.08040201005025126,0.2914572864321608,0.0,0.020100502512562814,0.12060301507537688,0.1658291457286432,
17,0.5483870967741935,93,3.2580645161290325,0.03225806451612903,0.0967741935483871,0.010752688172043012,0.06451612903225806,0.13978494623655913,0.3010752688172043,0.0,0.0,0.10752688172043011,0.24731182795698925,
17,0.7904761904761904,105,4.3238095238095235,0.11428571428571428,0.08571428571428572,0.0761904761904762,0.05714285714285714,0.09523809523809523,0.2571428571428571,0.0,0.02857142857142857,0.05714285714285714,0.22857142857142856,
17,0.6511627906976745,86,3.9186046511627906,0.046511627906976744,0.18604651162790697,0.03488372093023256,0.03488372093023256,0.1744186046511628,0.2558139534883721,0.0,0.0,0.09302325581395349,0.1744186046511628,
17,0.6517241379310345,290,4.517241379310345,0.12413793103448276,0.10344827586206896,0.06896551724137931,0.05862068965517241,0.09310344827586207,0.30689655172413793,0.0034482758620689655,0.017241379310344827,0.07241379310344828,0.15172413793103448,
17,0.8653846153846154,52,4.403846153846154,0.09615384615384616,0.11538461538461539,0.07692307692307693,0.057692307692307696,0.038461538461538464,0.3076923076923077,0.0,0.0,0.15384615384615385,0.15384615384615385,
17,0.5185185185185185,216,4.574074074074074,0.12037037037037036,0.05555555555555555,0.0787037037037037,0.041666666666666664,0.12037037037037036,0.3425925925925926,0.0,0.037037037037037035,0.023148148148148147,0.18055555555555555,
17,0.6170212765957447,47,3.8085106382978724,0.10638297872340426,0.10638297872340426,0.0851063829787234,0.10638297872340426,0.10638297872340426,0.2978723404255319,0.0,0.02127659574468085,0.0425531914893617,0.1276595744680851,
16,0.6977777777777778,225,4.24,0.07111111111111111,0.06666666666666667,0.057777777777777775,0.07555555555555556,0.13333333333333333,0.27555555555555555,0.008888888888888889,0.022222222222222223,0.10666666666666667,0.18222222222222223,
